2026-07-15 17:13:23 | INFO    | pipeline.run_model | 24 combinacoes de hiperparametros a avaliar.
2026-07-15 17:13:27 | INFO    | pipeline.run_model | 600 runs ja existentes (checkpoint).
2026-07-15 17:13:27 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 600 pulados (ja existiam).
2026-07-15 17:13:27 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): C=1.0,class_weight=None,gamma=auto,kernel=rbf
2026-07-15 17:13:27 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8152173913043478, 'balanced_accuracy': 0.8082257293161167, 'precision': 0.8090909090909091, 'recall': 0.8725490196078431, 'f1': 0.839622641509434, 'f2': 0.859073359073359, 'roc_auc': 0.8836681013868962, 'mcc': 0.6248757833031275}
2026-07-15 17:13:27 | INFO    | pipeline.run_model | === run_model: model=xgboost dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:13:27 | INFO    | pipeline.run_model | 72 combinacoes de hiperparametros a avaliar.
2026-07-15 17:13:37 | INFO    | pipeline.run_model | 1800 runs ja existentes (checkpoint).
2026-07-15 17:13:37 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1800 pulados (ja existiam).
2026-07-15 17:13:37 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): colsample_bytree=1.0,learning_rate=0.01,max_depth=3,n_estimators=400,subsample=0.8
2026-07-15 17:13:38 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.7880434782608695, 'balanced_accuracy': 0.783715925394548, 'precision': 0.8, 'recall': 0.8235294117647058, 'f1': 0.8115942028985508, 'f2': 0.8187134502923976, 'roc_auc': 0.8745815399330463, 'mcc': 0.5697869872428026}
2026-07-15 17:39:59 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:39:59 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:39:59 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 18:14:21 | INFO    | pipeline.run_model | Grid search concluido: 1350 runs novos, 0 pulados (ja existiam).
2026-07-15 18:14:29 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): depth=4,iterations=200,l2_leaf_reg=5,learning_rate=0.05
2026-07-15 18:14:29 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5760869565217391, 'balanced_accuracy': 0.3435372671336776, 'precision': 0.3656665085388994, 'recall': 0.3435372671336776, 'f1': 0.3385748665748666, 'f2': 0.3396553784904036, 'roc_auc': 0.8049273969135562, 'mcc': 0.36151539961797774}
2026-07-15 18:21:25 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:21:25 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:21:25 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:21:25 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:21:25 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): depth=4,iterations=200,l2_leaf_reg=5,learning_rate=0.05
2026-07-15 18:21:26 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5760869565217391, 'balanced_accuracy': 0.3435372671336776, 'precision': 0.3656665085388994, 'recall': 0.3435372671336776, 'f1': 0.3385748665748666, 'f2': 0.3396553784904036, 'roc_auc': 0.8049273969135562, 'mcc': 0.36151539961797774}
2026-07-15 18:21:26 | INFO    | pipeline.run_model | === run_model: model=lightgbm dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:21:26 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:21:26 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 18:32:01 | INFO    | pipeline.run_model | Grid search concluido: 1350 runs novos, 0 pulados (ja existiam).
2026-07-15 18:32:07 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): learning_rate=0.01,min_child_samples=20,n_estimators=200,num_leaves=31
2026-07-15 18:32:08 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5380434782608695, 'balanced_accuracy': 0.3399132450444001, 'precision': 0.3370700679072229, 'recall': 0.3399132450444001, 'f1': 0.3345118538382371, 'f2': 0.33705979404904135, 'roc_auc': 0.7821630542262143, 'mcc': 0.30786419537190607}
2026-07-15 18:32:08 | INFO    | pipeline.run_model | === run_model: model=logistic_regression dataset=linear task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:21 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:21 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:38:21 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:38:22 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:38:22 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): depth=4,iterations=200,l2_leaf_reg=5,learning_rate=0.05
2026-07-15 18:38:22 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5760869565217391, 'balanced_accuracy': 0.3435372671336776, 'precision': 0.3656665085388994, 'recall': 0.3435372671336776, 'f1': 0.3385748665748666, 'f2': 0.3396553784904036, 'roc_auc': 0.8049273969135562, 'mcc': 0.36151539961797774}
2026-07-15 18:38:22 | INFO    | pipeline.run_model | === run_model: model=lightgbm dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:22 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:38:22 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:38:22 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:38:22 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): learning_rate=0.01,min_child_samples=20,n_estimators=200,num_leaves=31
2026-07-15 18:38:23 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5380434782608695, 'balanced_accuracy': 0.3399132450444001, 'precision': 0.3370700679072229, 'recall': 0.3399132450444001, 'f1': 0.3345118538382371, 'f2': 0.33705979404904135, 'roc_auc': 0.7821630542262143, 'mcc': 0.30786419537190607}
2026-07-15 18:38:23 | INFO    | pipeline.run_model | === run_model: model=logistic dataset=linear task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:23 | INFO    | pipeline.run_model | 8 combinacoes de hiperparametros a avaliar.
2026-07-15 18:38:23 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 18:38:34 | INFO    | pipeline.run_model | Grid search concluido: 200 runs novos, 0 pulados (ja existiam).
2026-07-15 18:38:35 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): C=0.01,class_weight=None,l1_ratio=0.0,solver=lbfgs
2026-07-15 18:38:35 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5597826086956522, 'balanced_accuracy': 0.30252765420735966, 'precision': 0.32103868574456806, 'recall': 0.30252765420735966, 'f1': 0.2756181599319721, 'f2': 0.28903944892316985, 'roc_auc': 0.7971741263029444, 'mcc': 0.31758212844639827}
2026-07-15 18:38:35 | INFO    | pipeline.run_model | === run_model: model=random_forest dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:35 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:38:35 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:38:35 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:38:35 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): class_weight=None,max_depth=5,min_samples_leaf=2,n_estimators=800
2026-07-15 18:38:36 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5652173913043478, 'balanced_accuracy': 0.32145480731536874, 'precision': 0.31280179982440737, 'recall': 0.32145480731536874, 'f1': 0.2988684964908234, 'f2': 0.3110511190116587, 'roc_auc': 0.8056457878302059, 'mcc': 0.34099545660266345}
2026-07-15 18:38:36 | INFO    | pipeline.run_model | === run_model: model=xgboost dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:38:36 | INFO    | pipeline.run_model | 72 combinacoes de hiperparametros a avaliar.
2026-07-15 18:38:36 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 18:51:34 | INFO    | pipeline.run_model | Grid search concluido: 1800 runs novos, 0 pulados (ja existiam).
2026-07-15 18:51:43 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): colsample_bytree=0.8,learning_rate=0.01,max_depth=5,n_estimators=200,subsample=0.8
2026-07-15 18:51:43 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5543478260869565, 'balanced_accuracy': 0.3386281126962213, 'precision': 0.36839409893802444, 'recall': 0.3386281126962213, 'f1': 0.32659128790276337, 'f2': 0.3316440176934786, 'roc_auc': 0.7956581666595488, 'mcc': 0.322609478562409}
2026-07-15 18:56:54 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:56:54 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:56:54 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:56:54 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:56:54 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): depth=4,iterations=200,l2_leaf_reg=5,learning_rate=0.05
2026-07-15 18:56:54 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5760869565217391, 'balanced_accuracy': 0.3435372671336776, 'precision': 0.3656665085388994, 'recall': 0.3435372671336776, 'f1': 0.3385748665748666, 'f2': 0.3396553784904036, 'roc_auc': 0.8049273969135562, 'mcc': 0.36151539961797774}
2026-07-15 18:56:54 | INFO    | pipeline.run_model | === run_model: model=lightgbm dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 18:56:54 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 18:56:54 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 18:56:54 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 18:56:55 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): learning_rate=0.01,min_child_samples=20,n_estimators=200,num_leaves=31
2026-07-15 18:56:55 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5380434782608695, 'balanced_accuracy': 0.3399132450444001, 'precision': 0.3370700679072229, 'recall': 0.3399132450444001, 'f1': 0.3345118538382371, 'f2': 0.33705979404904135, 'roc_auc': 0.7821630542262143, 'mcc': 0.30786419537190607}
2026-07-15 18:56:55 | INFO    | pipeline.run_model | === run_model: model=logistic dataset=linear task=severity subgroup=all n_splits=5 n_repeats=5 ===
